Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
2,0,0,194,15,42420,2,0,4,261.96,2,0.0,41.9136
2,0,0,194,15,42420,2,0,5,731.94,3,0.0,219.582
2,1,0,266,3,90036,3,1,10,14.62,2,0.0,6.8714
3,0,0,153,8,33311,2,0,16,957.5775,5,0.45,-383.031
3,0,0,153,8,33311,2,1,14,22.368,2,0.2,2.5164
3,0,0,266,3,90032,3,0,9,48.86,7,0.0,14.1694
3,0,0,266,3,90032,3,1,2,7.28,4,0.0,1.9656
3,0,0,266,3,90032,3,2,13,907.152,6,0.2,90.7152
3,0,0,266,3,90032,3,1,3,18.504,3,0.2,5.7825
3,0,0,266,3,90032,3,1,1,114.9,5,0.0,34.47
3,0,0,266,3,90032,3,0,16,1706.184,9,0.2,85.3092
3,0,0,266,3,90032,3,2,13,911.424,4,0.2,68.3568
3,0,0,96,31,28027,2,1,12,15.552,3,0.2,5.4432
3,0,0,452,45,98103,3,1,3,407.976,3,0.2,132.5922
3,2,0,154,41,76106,0,1,1,68.81,5,0.8,-123.858
3,2,0,154,41,76106,0,1,3,2.544,3,0.8,-3.816
3,0,0,272,47,53711,0,1,14,665.88,6,0.0,13.3176
2,0,0,513,42,84084,3,1,14,55.5,2,0.0,9.99
2,0,0,438,3,94109,3,1,2,8.56,2,0.0,2.4824
2,0,0,438,3,94109,3,2,13,213.48,3,0.2,16.011
2,0,0,438,3,94109,3,1,3,22.72,4,0.2,7.384
3,1,0,158,25,68025,0,1,2,19.46,7,0.0,5.0596
3,1,0,158,25,68025,0,1,1,60.34,7,0.0,15.6884
2,0,0,374,36,19140,1,0,5,71.372,2,0.3,-1.0196
3,0,0,351,42,84057,3,0,16,1044.63,3,0.0,240.2649
2,0,0,266,3,90049,3,1,3,11.648,2,0.2,4.2224
2,0,0,266,3,90049,3,2,0,90.57,3,0.0,11.7741
3,0,0,374,36,19140,1,0,4,3083.43,7,0.5,-1665.0522
3,0,0,374,36,19140,1,1,3,9.618,2,0.7,-7.0532
3,0,0,374,36,19140,1,0,9,124.2,3,0.2,15.525
3,0,0,374,36,19140,1,1,7,3.264,2,0.2,1.1016
3,0,0,374,36,19140,1,1,2,86.304,6,0.2,9.7092
3,0,0,374,36,19140,1,1,3,6.858,6,0.7,-5.715
3,0,0,374,36,19140,1,1,2,15.76,2,0.2,3.546
2,2,0,207,41,77095,0,1,12,29.472,3,0.2,9.9468
0,1,0,406,41,75080,0,2,13,1097.544,7,0.2,123.4737
0,1,0,406,41,75080,0,0,9,190.92,5,0.6,-147.963
3,2,0,207,41,77041,0,1,7,113.328,9,0.2,35.415
3,2,0,207,41,77041,0,0,4,532.3992,3,0.32,-46.9764
3,2,0,207,41,77041,0,0,5,212.058,3,0.3,-15.147
3,2,0,207,41,77041,0,2,13,371.168,4,0.2,41.7564
3,1,0,321,11,60540,0,2,13,147.168,4,0.2,16.5564
3,1,0,266,3,90049,3,1,14,77.88,2,0.0,3.894
3,1,0,288,8,32935,2,1,14,95.616,2,0.2,9.5616
0,1,0,129,21,55122,0,2,0,45.98,2,0.0,19.7714
0,1,0,129,21,55122,0,1,3,17.46,2,0.0,8.2062
2,0,0,516,20,48185,0,1,14,211.96,4,0.0,8.4784
3,0,0,124,6,19901,1,2,0,45.0,3,0.0,4.95
3,0,0,124,6,19901,1,2,13,21.8,2,0.0,6.104
3,0,0,324,12,47150,0,1,3,38.22,6,0.0,17.9634
3,0,0,324,12,47150,0,1,10,75.18,6,0.0,35.3346
3,0,0,324,12,47150,0,0,9,6.16,2,0.0,2.9568
3,0,0,324,12,47150,0,0,5,89.99,1,0.0,17.0981
3,1,0,329,30,10024,1,1,8,15.26,7,0.0,6.2566
3,1,0,329,30,10024,1,2,13,1029.95,5,0.0,298.6855
0,0,0,488,30,12180,1,1,14,208.56,6,0.0,52.14
0,0,0,488,30,12180,1,1,12,32.4,5,0.0,15.552
0,0,0,488,30,12180,1,0,5,319.41,5,0.1,7.098
0,0,0,488,30,12180,1,1,12,14.56,2,0.0,6.9888
0,0,0,488,30,12180,1,2,0,30.0,2,0.0,3.3
0,0,0,488,30,12180,1,1,3,48.48,4,0.2,16.362
0,0,0,488,30,12180,1,1,2,1.68,1,0.0,0.84
3,0,0,266,3,90004,3,2,0,13.98,2,0.0,6.1512
3,0,0,266,3,90004,3,1,3,25.824,6,0.2,9.3612
3,0,0,266,3,90004,3,1,12,146.73,3,0.0,68.9631
3,0,0,266,3,90004,3,0,9,79.76,4,0.0,22.3328
3,2,0,80,11,60610,0,0,5,213.115,5,0.3,-15.2225
3,1,0,166,1,85234,3,1,2,1113.024,8,0.2,111.3024
3,1,0,166,1,85234,3,2,13,167.968,4,0.2,62.988
0,0,0,464,44,22153,2,1,12,75.88,2,0.0,35.6636
3,0,0,329,30,10009,1,1,3,4.616,1,0.2,1.731
2,0,0,215,20,49201,0,1,12,19.05,3,0.0,8.763
3,0,0,289,40,38109,2,0,5,831.936,8,0.2,-114.3912
3,0,0,289,40,38109,2,0,9,97.04,2,0.2,1.213
3,0,0,289,40,38109,2,1,14,72.784,1,0.2,-18.196
0,1,0,207,41,77041,0,1,3,1.248,3,0.8,-1.9344
0,1,0,207,41,77041,0,0,9,9.708,3,0.6,-5.8248
0,1,0,207,41,77041,0,1,14,27.24,3,0.2,2.724
2,0,0,207,41,77070,0,0,9,19.3,5,0.6,-14.475
0,1,0,116,0,35601,2,1,1,208.16,1,0.0,56.2032
0,1,0,116,0,35601,2,1,3,16.74,3,0.0,8.0352
3,0,0,438,3,94122,3,1,2,14.9,5,0.0,4.172
3,0,0,438,3,94122,3,1,14,21.39,1,0.0,6.2031
3,1,0,128,31,27707,2,1,7,200.984,7,0.2,62.8075
0,2,0,80,11,60623,0,1,14,230.376,3,0.2,-48.9549
2,0,0,93,38,29203,2,0,5,301.96,2,0.0,33.2156
3,0,0,410,21,55901,0,2,0,19.99,1,0.0,6.7966
3,0,0,410,21,55901,0,1,10,6.16,2,0.0,2.9568
